CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;SEZ2011;NSEZ;ACE;CODLOC;CODASC;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
14;Molise;70;Campobasso;1;Acquaviva Collecroce;70001;700010000001;1;0;10001;;329;163;166;116;162;7;40;4;68;80;5;7;3;6;7;16;16;13;16;17;14;27;20;19;24;22;14;25;73;4;4;7;10;6;8;13;5;14;10;11;13;10;6;10;32;320;18;81;72;92;49;8;157;8;47;36;46;17;3;113;99;10;73;65;6;187;75;22;19;8;17;12;49;64;129;55;2;0;1;1;0;0;0;0;2;0;0;0;0;0;2;146;94;0;94;0;14796;4;131;12;147;329;55;42;18;26;4;2;12;286;232;214;18;148;7;59;96;68;15;17;12;3;2;1;0;17;92;91;14;186;22;3;0;3;0;269;64;96;51;3
14;Molise;70;Campobasso;1;Acquaviva Collecroce;70001;700010000002;2;0;10001;;204;102;102;69;96;4;31;4;43;49;3;5;2;2;8;7;7;14;10;9;7;17;9;13;18;13;6;17;47;1;4;4;4;9;7;5;6;7;5;5;11;6;2;8;18;201;10;46;45;48;39;13;101;5;24;28;27;15;2;74;64;7;51;43;5;113;42;13;8;1;11;8;28;41;81;33;7;3;2;5;0;0;3;0;6;0;1;0;0;0;7;91;65;0;65;0;9800;2;84;6;92;199;37;26;11;16;1;1;8;198;152;146;6;86;8;52;74;35;19;8;4;5;0;1;0;22;55;57;12;132;12;1;1;0;0;166;30;83;32;1
14;Molise;70;Campobasso;1;Acquaviva Collecroce;70001;700010000010;10;0;10001;;61;33;28;24;35;0;2;0;14;18;0;1;0;3;2;5;4;3;2;5;1;1;7;11;8;7;1;0;1;1;1;4;1;2;2;2;1;0;3;4;4;6;1;0;1;56;6;15;20;13;2;0;31;2;10;7;10;2;0;32;27;3;20;16;2;19;7;8;4;1;1;1;12;18;6;5;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;20;5;0;5;0;2400;9;10;3;22;61;3;7;6;4;2;0;0;13;13;13;0;0;12;1;0;0;0;0;2;8;3;0;0;0;5;7;1;9;0;2;2;0;0;26;10;3;0;0
14;Molise;70;Campobasso;1;Acquaviva Collecroce;70001;700010000012;12;0;40001;;40;20;20;13;25;0;0;2;7;12;0;0;1;1;4;3;0;2;1;2;4;1;6;4;2;5;1;3;1;1;2;0;0;1;1;1;1;1;2;3;1;3;0;2;1;39;3;7;8;14;7;0;19;2;4;5;6;2;0;17;14;3;11;10;1;15;6;6;1;1;1;1;9;9;7;4;2;1;0;2;0;0;1;0;2;0;0;0;0;0;2;13;0;0;0;0;1488;0;12;1;13;40;0;5;4;2;2;0;0;10;10;9;1;4;5;0;0;0;0;3;3;3;0;0;0;1;2;5;1;6;2;1;0;0;0;13;5;4;0;0
14;Molise;70;Campobasso;1;Acquaviva Collecroce;70001;700010000013;13;0;40001;;5;4;1;3;2;0;0;0;3;1;0;0;0;0;0;0;0;1;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;5;0;1;4;0;0;0;4;0;1;3;0;0;0;5;5;0;4;4;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;150;0;1;1;2;5;1;0;0;1;0;0;0;2;2;2;0;2;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0
14;Molise;70;Campobasso;1;Acquaviva Collecroce;70001;700010000014;14;0;40001;;3;3;0;2;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;3;0;0;0;2;1;0;3;0;0;0;2;1;0;1;1;0;1;1;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;140;0;2;0;2;3;1;1;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;1;1;0
14;Molise;70;Campobasso;1;Acquaviva Collecroce;70001;700010000015;15;0;40001;;22;13;9;9;12;0;1;0;7;6;0;0;0;2;2;1;3;0;1;1;1;4;2;1;2;0;1;1;0;2;0;1;3;0;1;0;1;1;2;0;1;0;0;1;0;20;0;5;8;5;2;0;11;0;3;5;3;0;0;9;8;1;7;7;0;8;3;4;2;2;0;0;3;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;574;1;3;3;7;22;0;3;1;2;1;0;0;3;3;3;0;2;0;1;1;2;0;0;0;0;0;0;0;1;2;0;0;2;0;1;0;0;0;5;0;3;0;0
14;Molise;70;Campobasso;1;Acquaviva Collecroce;70001;700010000016;16;0;40001;;10;6;4;4;6;0;0;0;3;3;0;0;0;0;0;0;0;1;1;0;0;1;0;2;0;1;0;1;3;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;2;10;1;2;3;3;1;0;6;0;2;1;3;0;0;5;4;1;3;3;0;5;3;0;0;0;0;0;4;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;420;0;4;0;4;10;1;1;1;1;0;0;0;4;4;4;0;4;0;0;4;0;0;0;0;0;0;0;0;0;1;3;0;4;0;0;0;0;0;4;0;1;3;0
14;Molise;70;Campobasso;2;Baranello;70002;700020000002;2;0;10001;;402;178;224;167;179;5;47;4;81;87;4;6;0;15;21;28;17;21;18;26;33;31;33;32;28;26;12;17;44;8;11;17;6;9;3;16;17;11;16;14;15;9;5;9;12;386;26;103;122;81;52;2;170;10;42;62;38;18;0;170;128;24;99;77;15;168;43;50;22;6;20;10;83;96;76;25;5;1;1;4;0;0;1;0;4;0;1;0;0;0;5;153;45;0;45;0;15483;52;81;27;160;402;45;42;30;34;7;2;12;120;109;102;7;69;28;5;27;30;8;4;6;11;11;1;4;5;49;38;10;55;26;10;10;1;0;220;2;85;15;0
14;Molise;70;Campobasso;2;Baranello;70002;700020000003;3;0;26607;;22;12;10;8;11;0;3;0;6;6;0;0;0;1;1;1;1;3;0;1;1;1;3;3;1;1;0;1;3;1;0;1;1;3;0;0;1;0;1;2;1;0;0;0;1;21;1;2;10;3;5;0;11;1;1;6;1;2;0;6;5;0;5;5;0;13;5;4;4;4;0;0;3;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;2;0;1176;0;9;0;9;22;3;1;3;2;0;0;0;8;8;8;0;7;0;1;2;0;3;0;2;1;0;0;0;3;4;1;0;5;3;0;0;0;0;11;4;2;2;0
