CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;CODASC;NOMEASC;TIPOASC;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
1;Piemonte;1;Torino;272;Torino;1272;1;Centro, Crocetta;Circoscrizione;75966;36148;39818;34281;29351;2613;6108;3613;17662;14796;1184;1178;1328;3105;2990;2811;2826;3052;3909;4869;6040;6357;6399;5566;5042;5190;4581;4477;8752;1593;1530;1432;1459;1540;1970;2416;3008;3149;3159;2768;2423;2413;2194;2003;3091;72252;23948;21228;15130;7628;3964;354;34237;11766;9783;7508;3159;1888;133;36304;33650;2018;19014;17589;1088;30756;12579;4471;4757;2308;5057;3269;33188;4613;16471;6824;6960;3310;2666;3653;641;1468;1581;261;3086;1672;972;1224;6;0;6960;37893;5989;221;5788;201;3895887;12566;22457;3695;40629;74656;21237;10044;5239;3199;711;199;1263;5125;5073;3110;1963;2302;793;15;1265;902;452;359;92;24;8;4;4;105;143;178;2684;98;77;158;350;940;1487;53085;1111;1768;211;20
1;Piemonte;1;Torino;272;Torino;1272;2;Santa Rita, Mirafiori nord;Circoscrizione;100574;46488;54086;37463;46228;3041;10029;3813;19211;22984;1192;1852;1249;3660;3927;3737;3691;3955;4457;5316;7281;7963;7739;6691;6048;6491;6526;7782;15310;1898;2043;1880;1885;1994;2137;2588;3511;3818;3744;3147;2817;2880;2866;3380;5900;96115;13990;32668;27314;16222;5464;457;44165;6691;16082;12949;5960;2355;128;42545;38990;2666;21983;20337;1210;46705;18684;7149;5326;2592;4692;2484;39112;8458;29538;13382;7734;3244;3178;4002;554;1487;1589;168;5209;1079;1052;394;0;0;7734;48413;2712;196;2676;36;4177559;11680;34510;2812;49002;100193;18924;15931;8276;4968;755;148;932;4737;4700;2768;1932;582;2181;5;224;128;712;817;639;107;63;51;27;167;421;279;1901;185;176;303;431;551;1122;54760;1071;1401;290;6
1;Piemonte;1;Torino;272;Torino;1272;3;San Paolo, Cenisia, Cit Turin, Pozzo Strada;Circoscrizione;127187;59700;67487;51075;55951;3923;11182;5056;26263;27901;1609;2194;1733;5541;4994;4718;4616;5253;6626;8342;10505;10544;9712;8535;7930;8383;7434;8025;16029;2839;2586;2444;2371;2659;3283;4078;5235;5146;4544;4072;3718;3857;3396;3599;5873;120569;20942;39682;33609;18681;7044;611;56307;10082;19488;16282;7211;3048;196;58383;53421;3805;30630;28313;1781;53551;21201;8884;6750;3319;5874;3166;53042;10534;32043;14388;14286;6426;6195;7206;885;2972;3136;318;8595;2111;2644;935;0;1;14285;61919;6148;161;6134;14;5171072;17140;41756;3816;62712;126742;25858;18888;10418;6230;1069;249;1589;8910;8841;5144;3697;1827;3317;0;371;1167;1532;1248;453;128;111;94;40;339;690;469;3646;347;333;462;878;1527;1597;77426;510;3631;950;53
1;Piemonte;1;Torino;272;Torino;1272;4;San Donato, Parella, Campidoglio;Circoscrizione;95238;44699;50539;38885;41245;3093;8129;3886;19938;20642;1290;1467;1362;4323;3825;3499;3633;4200;4970;6400;7921;7821;7517;6679;6017;6029;5400;5571;11433;2205;1957;1808;1879;2104;2452;3139;3867;3829;3654;3162;2796;2841;2502;2456;4048;90098;15455;30009;25242;13444;5338;610;42083;7374;14692;12258;5251;2304;204;44831;40500;3224;23664;21531;1605;38760;15065;6549;5241;2566;4282;2294;40832;7589;22688;9964;13036;6055;5684;6655;697;2745;3052;258;7636;2704;1798;894;3;1;13035;45853;3926;95;3859;67;3857272;13582;30063;2870;46515;94606;19263;13674;7798;4644;885;251;1600;7247;7116;4203;2913;1757;2220;226;688;766;1321;848;368;84;43;31;54;223;464;505;3011;278;265;409;724;1299;1228;56552;1306;2583;296;18
1;Piemonte;1;Torino;272;Torino;1272;5;Borgo Vittoria, Madonna di Campagna, Lanzo, Lucento, Vallette;Circoscrizione;121608;58512;63096;47583;55109;3694;11086;4136;25576;27686;1581;2119;1550;5502;4997;5021;4908;5402;6495;7728;9532;9977;9336;8316;7359;7641;7029;7660;14705;2850;2617;2597;2558;2665;3216;3835;4899;5082;4686;4065;3572;3594;3223;3453;5600;115107;7912;32975;40976;23670;8385;1189;55136;3541;16618;21279;9712;3607;379;53723;47062;4822;29095;25824;2405;52365;21353;10027;5691;2730;6675;3747;48083;10654;29972;14503;15291;7319;6984;7553;754;3401;3625;293;9183;4026;1318;764;0;0;15291;54529;3010;136;3002;8;4266687;16557;36007;2625;55189;120320;19104;17586;10245;6556;1259;439;2790;8605;8337;4452;3885;1577;2871;4;288;516;1730;1224;355;123;128;46;42;593;1017;544;2298;530;466;548;816;831;1261;64229;584;3337;499;32
1;Piemonte;1;Torino;272;Torino;1272;6;Regio Parco, Barca, Bertolla, Barriera di Milano, Rebaudengo, Falchera, Villaretto;Circoscrizione;102188;49278;52910;41106;45880;3011;8777;3414;22006;23069;1294;1699;1210;4954;4569;4425;4459;4897;5263;6367;7831;8296;7756;6805;6057;6338;5989;6300;11882;2574;2322;2265;2346;2516;2611;3176;3969;4185;3923;3332;2882;2980;2766;2789;4642;96312;6459;25922;34364;20168;7899;1500;46232;2980;13135;17787;8427;3359;544;43205;37544;3913;23758;20911;2017;45035;18359;9054;4893;2430;6404;3688;39368;7958;24684;11879;19366;9577;8897;9358;1111;4457;4670;450;8969;6940;1601;1848;1;7;19359;44992;4176;316;3957;219;3596706;14224;28966;2678;45868;101839;16007;14084;8399;5399;1374;605;4001;8402;8172;4668;3504;1968;2595;105;441;816;1571;1060;353;191;144;70;22;618;1372;688;1990;712;580;672;822;745;1137;57742;760;3252;619;37
1;Piemonte;1;Torino;272;Torino;1272;7;Aurora, Vanchiglia, Sassi, Madonna del Pilone;Circoscrizione;83381;39341;44040;35842;35121;2426;6805;3187;18226;17721;1033;1212;1149;3909;3450;3150;3287;3653;4356;5562;6718;7044;6509;5691;5167;5190;4567;4966;10162;2036;1745;1608;1706;1861;2162;2753;3293;3489;3208;2759;2450;2405;2087;2178;3601;78722;12992;23152;22806;13417;5375;980;36921;6018;11411;11428;5323;2367;374;37909;33997;2858;20275;18301;1474;34963;13677;5975;4432;2158;4626;2572;34893;5473;19930;8681;15185;7567;6569;7696;920;3338;3818;411;6166;4874;1281;2861;3;0;15185;39157;5122;116;5080;42;3272856;11628;25295;2985;39908;81870;16942;11140;6480;4031;951;364;2329;7676;7467;4416;3051;2796;1231;389;905;1500;995;519;253;111;76;38;19;570;1215;643;1988;560;641;638;650;772;1155;54890;1173;2840;379;24
1;Piemonte;1;Torino;272;Torino;1272;8;Borgo Po, San Salvario, Cavoretto;Circoscrizione;55109;25822;29287;24269;22305;1619;4649;2267;12253;11124;695;935;815;2388;2196;2092;2080;2341;2812;3352;4302;4507;4227;3876;3662;3675;3239;3287;7073;1300;1134;1056;1097;1219;1383;1576;2122;2160;2010;1831;1688;1720;1506;1460;2560;52253;15332;16233;11310;6261;2840;277;24274;7412;7753;5295;2448;1279;87;25592;23783;1406;13455;12564;684;22841;8877;3585;3590;1813;2770;1512;23833;3782;12896;5425;6580;3005;2420;3604;556;1223;1569;213;3203;1183;1019;1169;6;0;6580;26887;3641;77;3629;12;2704708;7673;17122;2597;27392;54029;12610;7297;4112;2581;645;147;940;6832;6763;4311;2452;1895;2408;8;788;1202;926;767;415;137;52;17;7;302;1548;895;1566;1079;792;680;535;492;733;33863;1658;2293;332;28
1;Piemonte;1;Torino;272;Torino;1272;9;Nizza Millefonti, Lingotto, Filadelfia;Circoscrizione;73095;34446;38649;28063;33501;2107;6697;2727;14659;16718;861;1266;942;2874;2872;2781;2737;3064;3806;4353;5394;5730;5561;4972;4343;4872;4518;5075;10143;1481;1492;1420;1449;1576;1829;2138;2656;2801;2652;2396;2032;2189;2080;2309;3946;69637;9268;22337;21193;12279;4114;446;32669;4312;11237;10453;4777;1755;135;31667;28765;2171;16612;15261;995;32901;13441;5307;3822;1895;3363;1800;29060;6202;20409;9526;8632;3974;3861;4245;526;1885;1886;203;5277;1681;1071;601;2;0;8632;34892;2029;84;1996;33;2839083;9159;24328;1843;35330;72967;13587;11324;6067;3490;670;192;1221;3217;3191;1747;1444;403;1344;0;108;349;470;368;221;131;35;56;9;80;118;114;1435;84;49;73;191;390;960;41489;305;1090;342;10
1;Piemonte;1;Torino;272;Torino;1272;10;Mirafiori sud;Circoscrizione;38021;18209;19812;14823;17362;1032;3607;1197;7959;8688;425;704;433;1455;1464;1583;1652;1693;1878;2222;2555;3020;2958;2578;2430;2403;2134;2587;5409;722;730;785;858;884;969;1103;1291;1516;1488;1270;1178;1144;975;1105;2191;36276;2837;10523;12245;7738;2509;424;17337;1312;5428;6426;3067;959;145;16039;14332;1243;8681;7846;599;17480;7291;3099;1992;977;1973;1102;14114;3795;10416;5103;3744;1734;1687;1835;222;832;815;87;2363;860;388;133;0;0;3744;16729;661;60;658;3;1412686;3737;12367;800;16904;37790;5450;5578;3186;2065;471;154;1011;3013;2983;1339;1644;332;986;21;100;170;437;312;200;44;40;25;11;220;380;131;608;254;196;178;186;171;354;18071;980;305;49;5
