CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;ACE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
17;Basilicata;76;Potenza;63;Potenza;76063;0;10344;5217;5127;4195;5394;127;533;95;2283;2720;69;110;35;545;537;558;668;628;641;709;887;927;878;709;629;573;354;391;710;310;273;295;349;325;318;352;445;449;457;372;316;292;177;199;288;9698;950;2635;2948;2039;862;264;4858;413;1358;1665;1004;373;45;4508;3773;433;2779;2442;227;4196;1560;1114;922;426;451;268;4624;680;1709;848;43;11;12;25;6;3;7;1;32;3;3;5;0;0;43;3522;1487;15;1487;0;352898;222;2568;793;3583;10331;642;854;780;964;288;55;345;3700;3438;3132;306;1347;1266;519;44;91;278;403;633;1032;443;122;86;1099;1681;334;18;1822;867;370;65;7;1;5251;1132;1481;478;41
17;Basilicata;76;Potenza;63;Potenza;76063;1;12876;5936;6940;5292;5804;277;1199;304;2618;2918;115;183;102;461;475;505;551;570;687;729;938;1047;1088;885;808;815;661;792;1864;244;242;268;291;281;353;383;436;489;543;388;379;353;284;353;649;12324;3102;4543;2087;1791;715;86;5654;1436;2221;1066;617;296;18;5627;4893;472;2943;2614;213;5808;2239;1028;1093;562;606;313;5338;576;3081;1344;274;79;100;147;27;38;38;3;170;40;18;46;0;0;274;5519;1364;8;1355;9;527427;773;4234;590;5597;12825;1994;1422;1038;904;185;54;332;971;915;765;150;411;349;5;166;104;203;150;54;81;5;1;1;61;146;127;431;149;78;124;125;137;152;7321;30;544;174;17
17;Basilicata;76;Potenza;63;Potenza;76063;2;13343;6470;6873;5507;6671;247;744;174;2869;3330;103;122;46;500;465;516;629;767;1023;993;999;899;910;987;1198;1260;769;687;741;263;245;270;302;400;524;498;523;419;405;427;511;623;393;349;318;12743;2469;4884;2732;1843;697;118;6148;1069;2514;1492;747;292;34;6122;5168;583;3251;2802;293;5740;2441;1211;1311;620;578;338;5673;724;2640;1456;78;13;28;46;4;7;4;2;54;7;17;0;0;0;78;4696;825;8;821;4;487125;749;3631;365;4745;13338;841;1203;1173;1160;296;72;452;1213;1094;915;179;433;467;15;0;34;110;227;173;240;57;53;21;155;451;124;185;451;169;94;52;51;98;5752;209;538;157;11
17;Basilicata;76;Potenza;63;Potenza;76063;3;14952;7109;7843;6412;7058;260;999;223;3240;3535;104;156;74;554;630;671;833;876;867;837;1027;1224;1250;1240;1079;899;687;720;1558;291;317;345;442;436;434;425;482;547;580;620;539;425;311;328;587;14287;2664;5172;2987;2174;986;304;6766;1203;2576;1595;868;411;113;6671;5663;613;3628;3150;309;6426;2528;1255;1473;710;727;329;6581;770;2971;1465;96;16;25;63;8;6;10;0;71;9;8;8;0;0;96;5454;1002;10;997;5;525360;692;4346;479;5517;14594;1320;1406;1157;1261;309;64;402;1153;1112;973;139;431;540;2;3;23;128;277;263;186;42;39;12;104;458;147;264;382;183;101;83;82;142;6592;163;695;112;3
17;Basilicata;76;Potenza;63;Potenza;76063;4;15262;7387;7875;6269;7239;345;1122;287;3268;3673;148;192;106;654;651;676;752;852;883;876;1149;1275;1366;1104;940;927;733;866;1558;329;335;365;381;446;459;455;577;594;668;521;474;440;316;379;648;14486;1926;5178;3559;2646;991;186;6995;867;2570;1973;1116;419;50;6521;5372;757;3632;3112;353;6760;2726;1536;1222;567;808;505;6240;797;3194;1622;225;88;87;121;17;45;40;3;113;82;17;13;0;0;225;5500;1355;233;1352;3;532914;1141;3916;736;5793;15051;1431;1517;1265;1204;304;72;455;2788;2693;2257;436;838;867;552;3;50;234;659;276;922;62;26;25;901;882;239;235;1266;411;245;132;119;84;7208;220;1203;811;23
17;Basilicata;77;Matera;14;Matera;77014;0;4905;2505;2400;2224;2373;118;125;65;1182;1215;60;22;26;310;326;321;288;317;334;409;523;462;394;325;279;214;121;132;150;151;174;161;125;181;168;196;274;219;210;164;152;126;54;80;70;4540;458;1486;1483;660;398;55;2320;192;760;831;324;196;17;2454;2090;262;1486;1321;125;1494;533;491;362;145;195;130;2612;214;446;253;348;185;161;178;9;92;90;3;102;67;6;173;0;0;348;1661;381;10;381;0;171630;290;1082;311;1683;4899;341;351;375;420;149;47;306;1427;1384;1245;139;601;460;184;16;26;408;66;156;265;168;49;91;374;692;120;59;890;188;102;52;9;4;2148;499;556;174;16
17;Basilicata;77;Matera;14;Matera;77014;1;13037;6174;6863;5204;6145;242;1185;261;2681;3091;106;206;90;558;591;578;571;604;688;895;935;983;934;776;680;703;646;815;2080;282;294;310;287;313;330;456;482;489;475;360;343;306;259;315;873;12353;1715;3840;2982;2403;1217;196;5832;802;1874;1644;999;452;61;5247;4431;590;3005;2627;289;6063;2283;1586;851;401;639;312;5179;466;2987;1537;629;256;259;328;42;130;113;13;367;79;16;167;0;0;629;5355;871;7;868;3;523261;790;4229;409;5428;13005;1665;1522;1018;951;214;58;368;1289;1228;988;240;576;375;37;194;141;322;173;98;10;29;7;14;66;253;230;439;178;94;179;287;178;72;6456;180;639;157;12
17;Basilicata;77;Matera;14;Matera;77014;2;12362;5959;6403;5299;5926;231;717;189;2702;2978;96;120;63;523;582;645;723;800;724;768;865;921;1018;957;779;785;574;552;1146;265;266;346;364;407;372;390;433;432;459;470;396;373;252;266;468;11726;2175;4281;2586;1633;922;129;5647;1011;2113;1424;697;363;39;5542;4772;523;3140;2782;252;5070;1942;1197;1155;543;467;239;5584;511;2251;1130;307;110;127;155;25;53;48;9;191;42;22;52;0;0;307;4548;881;6;880;1;481896;582;3671;342;4595;12355;1081;1122;974;1068;284;66;416;1663;1544;1232;312;656;564;12;355;48;209;133;200;162;83;23;19;133;478;353;268;312;238;225;284;144;29;5602;487;566;172;7
17;Basilicata;77;Matera;14;Matera;77014;3;12532;5961;6571;5197;6061;217;860;197;2610;3045;89;152;65;532;596;576;611;701;780;874;908;917;954;850;895;886;634;592;1226;259;290;278;315;352;374;437;451;447;471;360;418;445;318;256;490;11882;2299;4406;2551;1634;888;104;5642;1103;2099;1408;621;373;38;5480;4754;498;3016;2705;213;5348;2118;1306;1084;518;493;285;5381;554;2465;1291;321;112;128;167;26;61;44;7;209;20;19;73;0;0;321;4762;567;13;565;2;501597;531;3976;322;4829;12509;1249;1196;1035;1049;250;50;317;790;763;647;116;202;430;15;14;41;142;89;160;105;51;18;27;11;88;170;378;53;35;96;213;156;94;5723;234;383;29;1
17;Basilicata;77;Matera;14;Matera;77014;4;16960;8493;8467;7180;8722;214;650;194;3813;4400;89;131;60;848;855;895;901;1044;1120;1204;1437;1358;1295;1206;1174;1228;813;724;858;435;442;481;473;524;583;612;710;677;603;559;560;616;411;371;436;15942;2008;6081;4188;2392;1163;110;7965;922;3086;2352;1047;522;36;7734;6551;828;4485;3959;383;6628;2650;2049;1423;672;592;334;7915;730;2564;1615;175;64;73;90;12;35;26;3;76;30;18;51;0;0;175;5750;302;13;301;1;610003;883;4674;242;5799;16917;867;1428;1371;1680;380;73;461;929;869;740;129;67;648;25;1;8;5;74;208;162;69;100;113;42;108;101;489;120;61;98;156;207;98;6167;433;283;22;2
